match_id,date,season_id,home,away,home_goals,away_goals,home_xg,away_xg
sr:sport_event:48855605,2024-06-11T19:00:00+00:00,sr:season:112442,Congo Republic,Morocco,0,6,0.0,0.0
sr:sport_event:48855613,2025-10-13T13:00:00+00:00,sr:season:112442,Tunisia,Namibia,3,0,0.0,0.0
sr:sport_event:48855615,2025-03-21T21:30:00+00:00,sr:season:112442,Niger,Morocco,1,2,0.0,0.0
sr:sport_event:48855617,2025-10-12T19:00:00+00:00,sr:season:112442,Ghana,Comoros,1,0,0.0,0.0
sr:sport_event:48855625,2025-03-25T21:30:00+00:00,sr:season:112442,Morocco,Tanzania,2,0,0.0,0.0
sr:sport_event:48855687,2025-10-14T19:00:00+00:00,sr:season:112442,Senegal,Mauritania,4,0,0.0,0.0
sr:sport_event:48855689,2024-06-07T19:00:00+00:00,sr:season:112442,Ivory Coast,Gabon,1,0,0.0,0.0
sr:sport_event:48855695,2024-06-11T13:00:00+00:00,sr:season:112442,Kenya,Ivory Coast,0,0,0.0,0.0
sr:sport_event:48855705,2025-03-21T19:00:00+00:00,sr:season:112442,Burundi,Ivory Coast,0,1,0.0,0.0
sr:sport_event:48855713,2025-03-24T19:00:00+00:00,sr:season:112442,Ivory Coast,Gambia,1,0,0.0,0.0
sr:sport_event:48855733,2024-06-06T19:00:00+00:00,sr:season:112442,Algeria,Guinea,1,2,0.0,0.0
sr:sport_event:48855739,2024-06-10T16:00:00+00:00,sr:season:112442,Uganda,Algeria,1,2,0.0,0.0
sr:sport_event:48855761,2025-03-21T13:00:00+00:00,sr:season:112442,Botswana,Algeria,1,3,0.0,0.0
sr:sport_event:48855767,2025-03-25T21:00:00+00:00,sr:season:112442,Algeria,Mozambique,5,1,0.0,0.0
sr:sport_event:48855781,2024-06-09T16:00:00+00:00,sr:season:112442,Namibia,Tunisia,0,0,0.0,0.0
sr:sport_event:48855799,2025-03-19T16:00:00+00:00,sr:season:112442,Liberia,Tunisia,0,1,0.0,0.0
sr:sport_event:48855803,2025-03-24T21:00:00+00:00,sr:season:112442,Tunisia,Malawi,2,0,0.0,0.0
sr:sport_event:48855937,2024-06-06T19:00:00+00:00,sr:season:112442,Mali,Ghana,1,2,0.0,0.0
